STATE,YEAR,CASES_REPORTED,POPULATION,HTRS
Andhra Pradesh,2018,240,53900000.0,0.4452690166975881
Arunachal Pradesh,2018,3,1570000.0,0.19108280254777069
Assam,2018,308,35600000.0,0.8651685393258427
Bihar,2018,127,124800000.0,0.10176282051282051
Chhattisgarh,2018,51,29400000.0,0.17346938775510204
Goa,2018,55,1540000.0,3.5714285714285716
Gujarat,2018,13,70400000.0,0.018465909090909092
Haryana,2018,34,28800000.0,0.11805555555555555
Himachal Pradesh,2018,6,7400000.0,0.08108108108108109
Jharkhand,2018,140,38900000.0,0.35989717223650386
Karnataka,2018,27,67500000.0,0.04
Kerala,2018,105,35600000.0,0.2949438202247191
Madhya Pradesh,2018,63,85300000.0,0.0738569753810082
Maharashtra,2018,311,124700000.0,0.24939855653568566
Manipur,2018,3,3300000.0,0.0909090909090909
Meghalaya,2018,24,3200000.0,0.75
Mizoram,2018,2,1200000.0,0.16666666666666666
Nagaland,2018,0,2200000.0,0.0
Odisha,2018,75,46300000.0,0.16198704103671704
Punjab,2018,17,30100000.0,0.05647840531561462
Rajasthan,2018,86,81000000.0,0.10617283950617284
Sikkim,2018,1,670000.0,0.14925373134328357
Tamil Nadu,2018,8,77300000.0,0.01034928848641656
Telangana,2018,242,39100000.0,0.618925831202046
Tripura,2018,2,4100000.0,0.048780487804878044
Uttar Pradesh,2018,35,240000000.0,0.014583333333333332
Uttarakhand,2018,29,11200000.0,0.25892857142857145
West Bengal,2018,172,99200000.0,0.17338709677419356
Andaman and Nicobar Islands,2018,0,,
Chandigarh,2018,0,,
Dadra and Nagar Haveli and Daman and Diu,2018,0,,
Delhi UT,2018,98,,
Jammu and Kashmir,2018,1,,
Ladakh,2018,0,,
Lakshadweep,2018,0,,
Puducherry,2018,0,,
Total All-India,2018,2278,,
Andhra Pradesh,2019,245,53900000.0,0.45454545454545453
Arunachal Pradesh,2019,0,1570000.0,0.0
Assam,2019,201,35600000.0,0.5646067415730337
Bihar,2019,106,124800000.0,0.08493589743589744
Chhattisgarh,2019,50,29400000.0,0.17006802721088435
Goa,2019,38,1540000.0,2.4675324675324672
Gujarat,2019,11,70400000.0,0.015625
Haryana,2019,15,28800000.0,0.052083333333333336
Himachal Pradesh,2019,11,7400000.0,0.14864864864864866
Jharkhand,2019,177,38900000.0,0.455012853470437
Karnataka,2019,32,67500000.0,0.047407407407407405
Kerala,2019,180,35600000.0,0.5056179775280899
Madhya Pradesh,2019,73,85300000.0,0.08558030480656506
Maharashtra,2019,282,124700000.0,0.22614274258219724
